State,Area_km,RdNBR_mean,RdNBR_SD,Beaver_Dam,Mean_NDWI_Pre,SD_NDWI_Pre,Mean_NDWI_Post,SD_NDWI_Post,Water_Proportion,dNDVI_mean,dNVDI_SD,NDWI_veg_pre_mean,NDWI_veg_pre_SD
A,0.120451134,97.6340027,127.4720001,Y,-0.611107,0.0543118,-0.636054,0.0307878,85.21525694,-0.028617032,0.050942085,0.258615416,0.067727464
E,0.003354862,639.5100098,50.2815018,N,-0.722088,0.0380623,-0.622411,0.0306518,16.94647442,-0.271210909,0.026685904,0.282167517,0.021186083
B,0.031129978,69.196701,124.1569977,Y,-0.675346,0.0636518,-0.671657,0.04149,0,-0.002011543,0.047422603,0.236433026,0.058881149
E,0.001388677,423.8380127,0,N,-0.6769,0.0229859,-0.615082,0.0246813,5.631114293,-0.128256857,0,0.24702549,0
D,0.16057736,150.3249969,148.3350067,N,-0.729433,0.0394339,-0.695278,0.0418199,0,-0.011887386,0.073745052,0.27790965,0.075108444
E,0.001609225,692.5880127,25.0573997,N,-0.7477,0.0284135,-0.62107,0.0160669,13.27392603,-0.343739316,0.009697661,0.234191008,0.027662449
E,0.002240347,807.4550171,18.2542,N,-0.703508,0.0320958,-0.593593,0.0167529,0,-0.313074127,0.002834544,0.321492165,0.018642187
E,0.002442576,668.6110229,96.5338974,N,-0.668491,0.0235159,-0.603352,0.0181539,0,-0.271079123,0.060097111,0.270522575,0.015929149
E,0.007730495,679.6820068,86.9504013,N,-0.781264,0.019672,-0.630832,0.0247328,0,-0.292869143,0.05942746,0.310483351,0.038265175
E,0.000815784,811.190979,12.1465998,N,-0.683388,0.0225892,-0.594685,0.0156878,0,-0.302038714,0.017012134,0.249548383,0.003114812
E,0.01166984,236.9420013,131.003006,N,-0.707661,0.0273761,-0.67738,0.0297084,0,-0.055777201,0.06717386,0.291275823,0.060408399
E,0.009946623,365.8309937,138.9859924,N,-0.72132,0.0344872,-0.657697,0.037465,0,-0.119532235,0.073498702,0.265271001,0.080667484
E,0.001856456,514.1030273,20.8584995,N,-0.72774,0.0241484,-0.639897,0.0272449,0,-0.210080892,0.040955514,0.268666491,0.017164335
E,0.00081894,542.4169922,0,N,-0.704534,0.0282583,-0.636169,0.0240053,0,-0.228524268,0,0.229665071,0
E,0.004203101,513.9119873,70.0644989,N,-0.679805,0.030897,-0.622271,0.0268827,0,-0.184272391,0.027879986,0.257723957,0.044629573
E,0.028319384,356.5679932,263.7359924,N,-0.700237,0.0410999,-0.652936,0.0545114,0,-0.124171215,0.126585432,0.256654763,0.06496475
E,0.002119073,561.5809937,156.5,N,-0.689959,0.0406393,-0.628491,0.0437156,0,-0.22322459,0.074612384,0.232480047,0.098945813
E,0.001082831,321.3840027,43.8553009,N,-0.672966,0.0258307,-0.647371,0.0219244,0,-0.122099876,0.032815218,0.197887897,0.006644353
E,0.001564513,476.7340088,0,N,-0.760752,0.0183592,-0.674769,0.0276078,0,-0.187361717,0,0.26665017,0
