OID,State,Area_m,Area_km,Area_Proportion,Pixel_count,Pixel_area,RdNBR_min,RdNBR_max,RdNBR_mean,RdNBR_SD,NDWI_min,NDWI_max,NDWI_mean,NDWI_SD
0,A,58204.61705,0.058204617,2.155117539,146,58400,-199.4573669,582.914856,97.6340453,127.4724626,-0.811758995,-0.404989004,-0.611096864,0.054283191
1,E,1621.609904,0.00162161,0.060042662,4,1600,568.3399658,693.4899292,639.5102081,50.28146128,-0.788968801,-0.569155455,-0.723010801,0.03667205
2,B,15048.82906,0.015048829,0.557206576,36,14400,-183.4985352,423.4111938,69.19671909,124.1566076,-0.804675341,-0.465116292,-0.674987256,0.063891068
3,E,671.1475989,0.000671148,0.024850311,1,400,423.8380127,423.8380127,423.8380127,0,-0.741501987,-0.635124922,-0.676662662,0.022625624
4,D,77616.63164,0.077616632,2.873877943,193,77200,-32.50253677,842.163208,150.3253559,148.3346804,-0.813842475,-0.477961421,-0.729494152,0.039388555
5,E,777.7027914,0.000777703,0.028795677,2,800,667.5309448,717.645813,692.5883789,25.05743408,-0.781661868,-0.62554425,-0.748076391,0.027740422
6,E,1082.759858,0.00108276,0.040090893,2,800,789.2012329,825.7095337,807.4553833,18.25415039,-0.782975256,-0.64597702,-0.704597835,0.032641747
7,E,1180.50888,0.001180509,0.043710203,3,1200,559.2037964,794.0304565,668.6106364,96.53393783,-0.733686626,-0.623659909,-0.66967227,0.024119548
8,E,3736.050427,0.00373605,0.138333131,8,3200,525.3556519,789.0574951,679.6816864,86.95041277,-0.821397007,-0.717098773,-0.781257847,0.019332798
9,E,394.2528681,0.000394253,0.014597838,2,800,799.0444336,823.3375854,811.1910095,12.14657593,-0.737291276,-0.63952297,-0.682950271,0.022161431
10,E,5641.001453,0.005641001,0.208866939,14,5600,-5.324086189,423.3644104,236.94154,131.0034758,-0.784921765,-0.55181253,-0.707937334,0.026641454
11,E,4808.067895,0.004808068,0.178026284,12,4800,207.3354645,626.5214233,365.8305664,138.9858082,-0.784615397,-0.598113894,-0.72149633,0.0333938
12,E,897.4048118,0.000897405,0.033227832,2,800,493.244812,534.961792,514.103302,20.85848999,-0.774051905,-0.661934614,-0.72737562,0.022557478
13,E,395.8260155,0.000395826,0.014656081,1,400,542.4172363,542.4172363,542.4172363,0,-0.765034974,-0.656463802,-0.699521359,0.027344715
14,E,2031.656026,0.002031656,0.075225261,5,2000,408.3604431,607.4603882,513.9115967,70.06451274,-0.731394947,-0.564940214,-0.681435891,0.027397259
15,E,13690.32858,0.013690329,0.506905975,38,15200,-2.842418671,836.194519,356.5675094,263.7357595,-0.775182486,-0.478735,-0.700072734,0.041013285
16,E,1024.387634,0.001024388,0.037929578,3,1200,347.7169495,717.8577881,561.581248,156.4998883,-0.746757686,-0.580343187,-0.690883966,0.038986495
17,E,523.4629899,0.000523463,0.019382041,2,800,277.528595,365.2391663,321.3838806,43.85528564,-0.720144749,-0.603780448,-0.674917741,0.024021296
18,E,756.2941699,0.000756294,0.028002976,1,400,476.7340393,476.7340393,476.7340393,0,-0.801701546,-0.715517223,-0.761523574,0.016985622
19,E,1639.291655,0.001639292,0.060697366,4,1600,259.6446228,578.9555664,437.3189545,131.337986,-0.814725399,-0.684892058,-0.77496931,0.021354452
20,E,5168.699422,0.005168699,0.191379214,10,4000,216.6161957,632.6398926,453.2091812,140.8561689,-0.768414497,-0.543770432,-0.711476489,0.031147388
21,E,2318.61089,0.002318611,0.085850221,7,2800,491.1966858,839.6773682,628.6135995,99.68468195,-0.730213344,-0.592302203,-0.672355298,0.029085196
22,E,4053.469388,0.004053469,0.150086069,11,4400,117.9964142,644.5189819,412.4409013,150.400954,-0.826754391,-0.510738969,-0.768399697,0.040763686
23,E,757.8775336,0.000757878,0.028061626,1,400,529.4376831,529.4376831,529.4376831,0,-0.786616504,-0.690554738,-0.751934625,0.02168905
24,C,90257.19445,0.090257194,3.341914643,200,80000,-243.5914917,879.0234375,230.7068909,202.6587892,-0.830676198,-0.280000001,-0.657480648,0.075012719
25,E,35742.77201,0.035742772,1.323432381,88,35200,-48.61666107,1023.210327,408.947389,307.881747,-0.81841433,-0.531823099,-0.730235514,0.028138915
26,E,26947.49888,0.026947499,0.997773557,69,27600,-29.92267227,1241.509155,437.9109022,352.2484461,-0.835294127,-0.515687823,-0.74367583,0.038283832
27,E,2300.473396,0.002300473,0.085178633,6,2400,668.8806152,940.567749,812.7533468,94.41454023,-0.806291997,-0.560599208,-0.707885502,0.035943411
28,D,3202.380085,0.00320238,0.118573159,6,2400,281.6835327,627.8225708,450.2781626,137.1207884,-0.819183409,-0.488898188,-0.715677664,0.051756009
29,B,35804.9883,0.035804988,1.325736026,86,34400,9.005810738,734.8145752,222.5036519,158.4157088,-0.822632432,-0.502166569,-0.681756821,0.044782105
30,E,2770.306889,0.002770307,0.102574976,5,2000,261.0813904,743.8104858,547.7091614,161.608383,-0.803641081,-0.534469962,-0.756639688,0.035963075
31,E,2801.401355,0.002801401,0.103726281,6,2400,196.0186615,793.1405029,461.1186879,244.111403,-0.711070776,-0.491343766,-0.608575923,0.047491038
32,E,180830.8935,0.180830894,6.695548419,396,158400,-179.1726074,1173.286377,217.7978806,254.1184352,-0.86544162,-0.480678946,-0.752062892,0.044429682
33,E,3209.644094,0.003209644,0.11884212,8,3200,183.7385864,515.425354,379.0951004,99.03911101,-0.820425808,-0.641341567,-0.762490814,0.024444578
34,E,2920.169655,0.00292017,0.10812389,6,2400,450.7649841,611.7901611,515.9446818,52.00906751,-0.836661696,-0.687848389,-0.769254694,0.029294926
35,E,798.0219751,0.000798022,0.02954802,2,800,680.8453369,742.5715332,711.7084351,30.86309814,-0.731072545,-0.665275455,-0.705714638,0.01457749
36,E,546.23941,0.000546239,0.020225359,1,400,691.9366455,691.9366455,691.9366455,0,-0.775579572,-0.629451752,-0.724806646,0.029873218
38,E,957.6542058,0.000957654,0.035458646,3,1200,699.8389282,758.1538086,724.74941,24.55288558,-0.759541988,-0.632713735,-0.685545377,0.023463871
39,D,99550.478,0.099550478,3.686013108,248,99200,-132.6385651,911.2131958,432.8421029,199.4044673,-0.824212253,-0.445266277,-0.682894705,0.056452329
40,E,1599.661487,0.001599661,0.059229966,4,1600,91.14525604,395.2852478,239.8081112,126.6408267,-0.819270253,-0.712168515,-0.767385728,0.027935921
41,C,46484.14249,0.046484142,1.721148508,113,45200,-93.96651459,958.2279663,252.5035407,214.2205434,-0.853115201,-0.5657143,-0.730351754,0.04920193
42,C,84541.92146,0.084541921,3.130297666,208,83200,-149.2218475,778.2248535,102.5498463,111.9048384,-0.793777764,-0.505081296,-0.683320226,0.034517283
43,A,853.2814855,0.000853281,0.031594072,2,800,324.2242126,338.8183594,331.521286,7.297073364,-0.76386404,-0.574186444,-0.676126837,0.038882074
44,C,43033.94719,0.043033947,1.593399609,85,34000,-319.3275757,851.9293823,479.5194815,200.9759934,-0.858080804,-0.332658231,-0.723496687,0.084354865
45,C,20905.64039,0.02090564,0.77406422,52,20800,156.0320892,942.0346069,537.3592341,207.9296456,-0.817902029,-0.366304338,-0.636742231,0.100612966
46,E,92102.783,0.092102783,3.41025048,233,93200,-94.18088531,1239.813354,457.6067811,402.377473,-0.856393278,-0.452044606,-0.765365525,0.046941774
47,D,40228.99317,0.040228993,1.489541773,101,40400,-263.4824219,1050.56604,283.0650249,342.4287815,-0.803343177,-0.32011494,-0.673232576,0.073088291
48,D,23371.8463,0.023371846,0.865379378,60,24000,179.1026611,1141.319702,587.2459834,273.6868616,-0.8332811,-0.491422027,-0.707456517,0.044347693
49,E,38606.1838,0.038606184,1.429454716,92,36800,117.4574432,762.4622192,397.1152095,121.1529753,-0.821952462,-0.465177387,-0.705990666,0.044016128
50,E,1083.140752,0.001083141,0.040105,4,1600,558.4276733,637.2966919,597.7669067,30.14982416,-0.784733653,-0.690560699,-0.740594781,0.018780037
