pointid,RdNBR,Distance_m,Near_OID,State,Area_km,RdNBR_mean,RdNBR_SD,Mean_NDWI_Pre,SD_NDWI_Pre,Mean_NDWI_Post,SD_NDWI_Post,Pixel_count,Beaver_Dam,Margin,Pixel_Severity,Wetland_Severity,,Row Labels,Count of pointid
206400,368.2185364,8.743014568,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,A,149
206401,223.0757446,1.653246863,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,L,L,,L,147
206903,510.6499329,7.341175028,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,M,2
206904,70.4631042,24.30316356,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,B,757
206905,-57.8499985,4.915402947,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,H,1
206907,904.1072388,1.905928414,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,H,L,,L,756
207390,1046.275513,2.436329666,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,H,L,,C,3318
207404,656.9851685,0.43552696,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,H,L,,L,1321
207405,89.0192184,17.35630968,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,M,1997
207406,-19.5988216,12.59209284,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,D,990
207407,274.7478943,17.09234393,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,H,58
207408,567.9060669,4.022348334,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,L,466
207888,1048.603027,6.355728105,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,H,L,,M,466
207901,119.8559113,13.02411623,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,E,1608
207902,121.5044556,15.02380553,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,H,453
207903,484.6639099,1.953808366,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,M,L,,L,514
208378,1050.56604,5.045024201,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,H,L,,M,641
208391,460.7960815,2.672751592,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,M,L,,(blank),
208392,242.3536224,3.956135292,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,(blank),
208871,951.8582153,8.23109724,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,H,L,,Grand Total,6822
208883,545.5908813,1.88743916,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,M,L,,,
208884,297.0395508,12.42084546,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
208885,659.894165,5.726703972,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,H,L,,,
209354,906.3964844,4.60045481,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,H,L,,,
209357,549.2026367,5.629077888,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,,
209358,620.489624,2.125844647,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,M,L,,,
209370,319.8702698,10.64196991,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,,
